list,item,adjective,context,context_sentence,target_sentence,correct,pictures,condition,target_picture,control_picture,neither_picture,condition_randomizer,Picture_1,Picture_2,Picture_3
6,2,empty,strict,Cate kept an old jam jar in the kitchen and will use it to store rice in the future.,“Show me the empty jam jar”,neither,imprecise,e,2_jar_3_4.jpg,2_jar_0_4.jpg,cross.jpg,critical,full jar,red cross,almost empty jar
1,3,full,strict,Matt was surprised that the tickets were sold out and everyone actually came to see the play.,“Show me the full theater”,neither,imprecise,e,3_theater_3_4.jpg,3_theater_0_4.jpg,cross.jpg,critical,empty theater,red cross,almost full theater
2,3,full,loose,Matt was surprised that the tickets weren’t sold out and yet so many people came to see the play.,“Show me the full theater”,neither,control,f,3_theater_control.jpg,3_theater_0_4.jpg,cross.jpg,critical,empty theater,red cross,full bus
3,3,full,strict,Matt was surprised that the tickets were sold out and everyone actually came to see the play.,“Show me the full theater”,target,precise,a,3_theater_4_4.jpg,3_theater_0_4.jpg,cross.jpg,critical,empty theater,red cross,full theater
4,3,full,loose,Matt was surprised that the tickets weren’t sold out and yet so many people came to see the play.,“Show me the full theater”,target,imprecise,b,3_theater_3_4.jpg,3_theater_0_4.jpg,cross.jpg,critical,empty theater,red cross,almost full theater
5,3,full,strict,Matt was surprised that the tickets were sold out and everyone actually came to see the play.,“Show me the full theater”,neither,control,c,3_theater_control.jpg,3_theater_0_4.jpg,cross.jpg,critical,empty theater,red cross,full bus
6,3,full,loose,Matt was surprised that the tickets weren’t sold out and yet so many people came to see the play.,“Show me the full theater”,target,precise,d,3_theater_4_4.jpg,3_theater_0_4.jpg,cross.jpg,critical,empty theater,red cross,full theater
1,4,full,loose,Sarah is a mother of three and she is making a quick and easy cake for a kid’s birthday party.,“Show me the full cup of flour”,target,precise,d,4_cup_4_4.jpg,4_cup_0_4.jpg,cross.jpg,critical,empty cup,red cross,full cup
2,4,full,strict,Sarah is a pastry chef and she is making a complicated French dessert that needs to be perfect.,“Show me the full cup of flour”,neither,imprecise,e,4_cup_3_4.jpg,4_cup_0_4.jpg,cross.jpg,critical,empty cup,red cross,almost full cup
3,4,full,loose,Sarah is a mother of three and she is making a quick and easy cake for a kid’s birthday party.,“Show me the full cup of flour”,neither,control,f,4_cup_control.jpg,4_cup_0_4.jpg,cross.jpg,critical,empty cup,red cross,shot glass
4,4,full,strict,Sarah is a pastry chef and she is making a complicated French dessert that needs to be perfect.,“Show me the full cup of flour”,target,precise,a,4_cup_4_4.jpg,4_cup_0_4.jpg,cross.jpg,critical,empty cup,red cross,full cup
5,4,full,loose,Sarah is a mother of three and she is making a quick and easy cake for a kid’s birthday party.,“Show me the full cup of flour”,target,imprecise,b,4_cup_3_4.jpg,4_cup_0_4.jpg,cross.jpg,critical,empty cup,red cross,almost full cup
6,4,full,strict,Sarah is a pastry chef and she is making a complicated French dessert that needs to be perfect.,“Show me the full cup of flour”,neither,control,c,4_cup_control.jpg,4_cup_0_4.jpg,cross.jpg,critical,empty cup,red cross,sad kid
1,5,closed,strict,Jamal has a headache so he carefully covered the windows to keep the room pitch-dark. ,“Show me the closed curtains”,neither,control,c,5_curtains_control.jpg,5_curtains_0_4.jpg,cross.jpg,critical,open curtains,red cross,closed door
2,5,closed,loose,Jamal has nosey neighbors so he quickly covered the windows to keep them from looking in.,“Show me the closed curtains”,target,precise,d,5_curtains_4_4.jpg,5_curtains_0_4.jpg,cross.jpg,critical,open curtains,red cross,closed curtains
3,5,closed,strict,Jamal has a headache so he carefully covered the windows to keep the room pitch-dark. ,“Show me the closed curtains”,neither,imprecise,e,5_curtains_3_4.jpg,5_curtains_0_4.jpg,cross.jpg,critical,open curtains,red cross,almost closed curtains
4,5,closed,loose,Jamal has nosey neighbors so he quickly covered the windows to keep them from looking in.,“Show me the closed curtains”,neither,control,f,5_curtains_control.jpg,5_curtains_0_4.jpg,cross.jpg,critical,open curtains,red cross,closed door
5,5,closed,strict,Jamal has a headache so he carefully covered the windows to keep the room pitch-dark. ,“Show me the closed curtains”,target,precise,a,5_curtains_4_4.jpg,5_curtains_0_4.jpg,cross.jpg,critical,open curtains,red cross,closed curtains
6,5,closed,loose,Jamal has nosey neighbors so he quickly covered the windows to keep them from looking in.,“Show me the closed curtains”,target,imprecise,b,5_curtains_3_4.jpg,5_curtains_0_4.jpg,cross.jpg,critical,open curtains,red cross,almost closed curtains
1,6,closed,loose,Tyrone doesn’t mind the cold so he casually gets dressed when he goes outside in the winter.,“Show me the closed jacket”,target,imprecise,b,6_jacket_3_4.jpg,6_jacket_0_4.jpg,cross.jpg,critical,open jacket,red cross,almost closed jacket
2,6,closed,strict,Tyrone hates the cold so he covers up very carefully when he goes out of the house in the winter.,“Show me the closed jacket”,neither,control,c,6_jacket_control.jpg,6_jacket_0_4.jpg,cross.jpg,critical,open jacket,red cross,pants
3,6,closed,loose,Tyrone doesn’t mind the cold so he casually gets dressed when he goes outside in the winter.,“Show me the closed jacket”,target,precise,d,6_jacket_4_4.jpg,6_jacket_0_4.jpg,cross.jpg,critical,open jacket,red cross,closed jacket
4,6,closed,strict,Tyrone hates the cold so he covers up very carefully when he goes out of the house in the winter.,“Show me the closed jacket”,neither,imprecise,e,6_jacket_3_4.jpg,6_jacket_0_4.jpg,cross.jpg,critical,open jacket,red cross,almost closed jacket
5,6,closed,loose,Tyrone doesn’t mind the cold so he casually gets dressed when he goes outside in the winter.,“Show me the closed jacket”,neither,control,f,6_jacket_control.jpg,6_jacket_0_4.jpg,cross.jpg,critical,open jacket,red cross,pants
6,6,closed,strict,Tyrone hates the cold so he covers up very carefully when he goes out of the house in the winter.,“Show me the closed jacket”,target,precise,a,6_jacket_4_4.jpg,6_jacket_0_4.jpg,cross.jpg,critical,open jacket,red cross,closed jacket
1,7,clean,strict,Nia is a doctor and needs to get a change of clothes before she goes into surgery. ,“show me the clean coat”,target,precise,a,7_coat_4_4.jpg,7_coat_0_4.jpg,cross.jpg,critical,dirty coat,red cross,clean coat
2,7,clean,loose,Nia is a painter and needs to get a change of clothes before she starts a new mural.,“show me the clean coat”,target,imprecise,b,7_coat_3_4.jpg,7_coat_0_4.jpg,cross.jpg,critical,dirty coat,red cross,almost clean coat
3,7,clean,strict,Nia is a doctor and needs to get a change of clothes before she goes into surgery. ,“show me the clean coat”,neither,control,c,7_coat_control.jpg,7_coat_0_4.jpg,cross.jpg,critical,dirty coat,red cross,clean pants
4,7,clean,loose,Nia is a painter and needs to get a change of clothes before she starts a new mural.,“show me the clean coat”,target,precise,d,7_coat_4_4.jpg,7_coat_0_4.jpg,cross.jpg,critical,dirty coat,red cross,clean coat
5,7,clean,strict,Nia is a doctor and needs to get a change of clothes before she goes into surgery. ,“show me the clean coat”,neither,imprecise,e,7_coat_3_4.jpg,7_coat_0_4.jpg,cross.jpg,critical,dirty coat,red cross,almost clean coat
6,7,clean,loose,Nia is a painter and needs to get a change of clothes before she starts a new mural.,“show me the clean coat”,neither,control,f,7_coat_control.jpg,7_coat_0_4.jpg,cross.jpg,critical,dirty coat,red cross,clean pants
1,8,clean,loose,Jake wants to lend his muddy boots to a friend so he swiftly rinses them off beforehand.,“Show me the clean boots”,neither,control,f,8_boots_control.jpg,8_boots_0_4.jpg,cross.jpg,critical,dirty boots,red cross,sneakers
2,8,clean,strict,Jake wants to sell his muddy boots so he has them professionally rinsed beforehand. ,“Show me the clean boots”,target,precise,a,8_boots_4_4.jpg,8_boots_0_4.jpg,cross.jpg,critical,dirty boots,red cross,clean boots
3,8,clean,loose,Jake wants to lend his muddy boots to a friend so he swiftly rinses them off beforehand.,“Show me the clean boots”,target,imprecise,b,8_boots_3_4.jpg,8_boots_0_4.jpg,cross.jpg,critical,dirty boots,red cross,almost clean boots
4,8,clean,strict,Jake wants to sell his muddy boots so he has them professionally rinsed beforehand. ,“Show me the clean boots”,neither,control,c,8_boots_control.jpg,8_boots_0_4.jpg,cross.jpg,critical,dirty boots,red cross,sneakers
5,8,clean,loose,Jake wants to lend his muddy boots to a friend so he swiftly rinses them off beforehand.,“Show me the clean boots”,target,precise,d,8_boots_4_4.jpg,8_boots_0_4.jpg,cross.jpg,critical,dirty boots,red cross,clean boots
6,8,clean,strict,Jake wants to sell his muddy boots so he has them professionally rinsed beforehand. ,“Show me the clean boots”,neither,imprecise,e,8_boots_3_4.jpg,8_boots_0_4.jpg,cross.jpg,critical,dirty boots,red cross,almost clean boots
1,9,straight,strict,Jasmine carefully drew a perfect line with a ruler on a piece of paper.,“Show me the straight line”,neither,imprecise,e,9_line_3_4.jpg,9_line_0_4.jpg,cross.jpg,critical,crooked line,red cross,almost straight line
2,9,straight,loose,Jasmine rashly drew a line with her eyes closed on a piece of paper. ,“Show me the straight line”,neither,control,f,9_line_control.jpg,9_line_0_4.jpg,cross.jpg,critical,bent line,red cross,square
3,9,straight,strict,Jasmine carefully drew a perfect line with a ruler on a piece of paper.,“Show me the straight line”,target,precise,a,9_line_4_4.jpg,9_line_0_4.jpg,cross.jpg,critical,bent line,red cross,straight line
4,9,straight,loose,Jasmine rashly drew a line with her eyes closed on a piece of paper. ,“Show me the straight line”,target,imprecise,b,9_line_3_4.jpg,9_line_0_4.jpg,cross.jpg,critical,bent line,red cross,almost straight line
5,9,straight,strict,Jasmine carefully drew a perfect line with a ruler on a piece of paper.,“Show me the straight line”,neither,control,c,9_line_control.jpg,9_line_0_4.jpg,cross.jpg,critical,bent line,red cross,square
6,9,straight,loose,Jasmine rashly drew a line with her eyes closed on a piece of paper. ,“Show me the straight line”,target,precise,d,9_line_4_4.jpg,9_line_0_4.jpg,cross.jpg,critical,bent line,red cross,straight line
1,10,straight,loose,Colin is an amateur archer who makes his arrows from pieces of wood he finds lying around.,“Show me the straight arrow”,target,precise,d,10_arrow_4_4.jpg,10_arrow_0_4.jpg,cross.jpg,critical,bent arrow,red cross,straight arrow
2,10,straight,strict,"Colin is a professional archer and he has his arrows made with a special, fine-tuned machine.",“Show me the straight arrow”,neither,imprecise,e,10_arrow_3_4.jpg,10_arrow_0_4.jpg,cross.jpg,critical,bent arrow,red cross,almost straight arrow
3,10,straight,loose,Colin is an amateur archer who makes his arrows from pieces of wood he finds lying around.,“Show me the straight arrow”,neither,control,f,10_arrow_control.jpg,10_arrow_0_4.jpg,cross.jpg,critical,bent arrow,red cross,road
4,10,straight,strict,"Colin is a professional archer and he has his arrows made with a special, fine-tuned machine.",“Show me the straight arrow”,target,precise,a,10_arrow_4_4.jpg,10_arrow_0_4.jpg,cross.jpg,critical,bent arrow,red cross,straight arrow
5,10,straight,loose,Colin is an amateur archer who makes his arrows from pieces of wood he finds lying around.,“Show me the straight arrow”,target,imprecise,b,10_arrow_3_4.jpg,10_arrow_0_4.jpg,cross.jpg,critical,bent arrow,red cross,almost straight arrow
6,10,straight,strict,"Colin is a professional archer and he has his arrows made with a special, fine-tuned machine.",“Show me the straight arrow”,neither,control,c,10_arrow_control.jpg,10_arrow_0_4.jpg,cross.jpg,critical,bent arrow,red cross,road
1,11,round,strict,Heather is baking cookies and uses a cookie cutter to form them nicely.,“Show me the round cookies”,neither,control,c,11_cookies_control.jpg,11_cookies_0_4.jpg,cross.jpg,critical,squared cookies,red cross,round cake
2,11,round,loose,Heather is baking cookies and uses her hands to casually form them.,“Show me the round cookies”,target,precise,d,11_cookies_4_4.jpg,11_cookies_0_4.jpg,cross.jpg,critical,squared cookies,red cross,round cookies
3,11,round,strict,Heather is baking cookies and uses a cookie cutter to form them nicely.,“Show me the round cookies”,neither,imprecise,e,11_cookies_3_4.jpg,11_cookies_0_4.jpg,cross.jpg,critical,squared cookies,red cross,almost round cookies
4,11,round,loose,Heather is baking cookies and uses her hands to casually form them.,“Show me the round cookies”,neither,control,f,11_cookies_control.jpg,11_cookies_0_4.jpg,cross.jpg,critical,squared cookies,red cross,round cake
5,11,round,strict,Heather is baking cookies and uses a cookie cutter to form them nicely.,“Show me the round cookies”,target,precise,a,11_cookies_4_4.jpg,11_cookies_0_4.jpg,cross.jpg,critical,squared cookies,red cross,round cookies
6,11,round,loose,Heather is baking cookies and uses her hands to casually form them.,“Show me the round cookies”,target,imprecise,b,11_cookies_3_4.jpg,11_cookies_0_4.jpg,cross.jpg,critical,squared cookies,red cross,almost round cookies
1,12,round,loose,DeShawn playfully drew a landscape and made the shapes with his fingers to make sure they looked really silly.,“Show me the round sun”,target,imprecise,b,12_sun_3_4.jpg,12_sun_0_4.jpg,cross.jpg,critical,star,red cross,almost round sun
2,12,round,strict,DeShawn patiently drew a landscape and made the shapes with a compass to make sure they looked perfect.,“Show me the round sun”,neither,control,c,12_sun_control.jpg,12_sun_0_4.jpg,cross.jpg,critical,star,red cross,moon
3,12,round,loose,DeShawn playfully drew a landscape and made the shapes with his fingers to make sure they looked really silly.,“Show me the round sun”,target,precise,d,12_sun_4_4.jpg,12_sun_0_4.jpg,cross.jpg,critical,star,red cross,round sun
4,12,round,strict,DeShawn patiently drew a landscape and made the shapes with a compass to make sure they looked perfect.,“Show me the round sun”,neither,imprecise,e,12_sun_3_4.jpg,12_sun_0_4.jpg,cross.jpg,critical,star,red cross,almost round sun
5,12,round,loose,DeShawn playfully drew a landscape and made the shapes with his fingers to make sure they looked really silly.,“Show me the round sun”,neither,control,f,12_sun_control.jpg,12_sun_0_4.jpg,cross.jpg,critical,star,red cross,moon
6,12,round,strict,DeShawn patiently drew a landscape and made the shapes with a compass to make sure they looked perfect.,“Show me the round sun”,target,precise,a,12_sun_4_4.jpg,12_sun_0_4.jpg,cross.jpg,critical,star,red cross,round sun
1,13,blue,color,"Patricia bought a blue crayon, which she loves, for a new project.",“Show me what Patricia bought”,target,context,target_present,f2_BlueCrayon_1.jpg,f2_BlueCrayon_2.jpg,cross.jpg,critical,orange crayon,red cross,blue crayon
2,13,blue,color,"Patricia bought a blue crayon, which she loves, for a new project.",“Show me what Patricia bought”,target,context,target_present,f2_BlueCrayon_1.jpg,f2_BlueCrayon_2.jpg,cross.jpg,critical,orange crayon,red cross,blue crayon
3,13,blue,color,"Patricia bought a blue crayon, which she loves, for a new project.",“Show me what Patricia bought”,target,context,target_present,f2_BlueCrayon_1.jpg,f2_BlueCrayon_2.jpg,cross.jpg,critical,orange crayon,red cross,blue crayon
4,13,blue,color,"Patricia bought a blue crayon, which she loves, for a new project.",“Show me what Patricia bought”,target,context,target_present,f2_BlueCrayon_1.jpg,f2_BlueCrayon_2.jpg,cross.jpg,critical,orange crayon,red cross,blue crayon
5,13,blue,color,"Patricia bought a blue crayon, which she loves, for a new project.",“Show me what Patricia bought”,target,context,target_present,f2_BlueCrayon_1.jpg,f2_BlueCrayon_2.jpg,cross.jpg,critical,orange crayon,red cross,blue crayon
6,13,blue,color,"Patricia bought a blue crayon, which she loves, for a new project.",“Show me what Patricia bought”,target,context,target_present,f2_BlueCrayon_1.jpg,f2_BlueCrayon_2.jpg,cross.jpg,critical,orange crayon,red cross,blue crayon
1,14,yellow,color,Josh is going to play outside in the rain so he makes sure to be prepared for the weather.,“Show me the yellow raincoat”,target,sentence,target_present,f3_YellowRaincoat_1.jpg,f3_YellowRaincoat_2.jpg,cross.jpg,critical,purple raincoat,red cross,yellow raincoat
2,14,yellow,color,Josh is going to play outside in the rain so he makes sure to be prepared for the weather.,“Show me the yellow raincoat”,target,sentence,target_present,f3_YellowRaincoat_1.jpg,f3_YellowRaincoat_2.jpg,cross.jpg,critical,purple raincoat,red cross,yellow raincoat
3,14,yellow,color,Josh is going to play outside in the rain so he makes sure to be prepared for the weather.,“Show me the yellow raincoat”,target,sentence,target_present,f3_YellowRaincoat_1.jpg,f3_YellowRaincoat_2.jpg,cross.jpg,critical,purple raincoat,red cross,yellow raincoat
4,14,yellow,color,Josh is going to play outside in the rain so he makes sure to be prepared for the weather.,“Show me the yellow raincoat”,target,sentence,target_present,f3_YellowRaincoat_1.jpg,f3_YellowRaincoat_2.jpg,cross.jpg,critical,purple raincoat,red cross,yellow raincoat
5,14,yellow,color,Josh is going to play outside in the rain so he makes sure to be prepared for the weather.,“Show me the yellow raincoat”,target,sentence,target_present,f3_YellowRaincoat_1.jpg,f3_YellowRaincoat_2.jpg,cross.jpg,critical,purple raincoat,red cross,yellow raincoat
6,14,yellow,color,Josh is going to play outside in the rain so he makes sure to be prepared for the weather.,“Show me the yellow raincoat”,target,sentence,target_present,f3_YellowRaincoat_1.jpg,f3_YellowRaincoat_2.jpg,cross.jpg,critical,purple raincoat,red cross,yellow raincoat
1,15,green,color,Karen bought herself a green bicycle and is thinking about what helmet to buy.,“Show me Karen's bicycle”,neither,context,target_absent,f4_GreenBicycle_1.jpg,f4_GreenBicycle_2.jpg,cross.jpg,filler,pink bicycle,red cross,black bicycle
2,15,green,color,Karen bought herself a green bicycle and is thinking about what helmet to buy.,“Show me Karen's bicycle”,neither,context,target_absent,f4_GreenBicycle_1.jpg,f4_GreenBicycle_2.jpg,cross.jpg,filler,pink bicycle,red cross,black bicycle
3,15,green,color,Karen bought herself a green bicycle and is thinking about what helmet to buy.,“Show me Karen's bicycle”,neither,context,target_absent,f4_GreenBicycle_1.jpg,f4_GreenBicycle_2.jpg,cross.jpg,filler,pink bicycle,red cross,black bicycle
4,15,green,color,Karen bought herself a green bicycle and is thinking about what helmet to buy.,“Show me Karen's bicycle”,neither,context,target_absent,f4_GreenBicycle_1.jpg,f4_GreenBicycle_2.jpg,cross.jpg,filler,pink bicycle,red cross,black bicycle
5,15,green,color,Karen bought herself a green bicycle and is thinking about what helmet to buy.,“Show me Karen's bicycle”,neither,context,target_absent,f4_GreenBicycle_1.jpg,f4_GreenBicycle_2.jpg,cross.jpg,filler,pink bicycle,red cross,black bicycle
6,15,green,color,Karen bought herself a green bicycle and is thinking about what helmet to buy.,“Show me Karen's bicycle”,neither,context,target_absent,f4_GreenBicycle_1.jpg,f4_GreenBicycle_2.jpg,cross.jpg,filler,pink bicycle,red cross,black bicycle
1,16,purple,color,Darius wants to drink from the mug that he got for Christmas.,“Show me the purple mug”,neither,sentence,target_absent,f5_PurpleMug_1.jpg,f5_PurpleMug_2.jpg,cross.jpg,filler,white mug,red cross,black mug
2,16,purple,color,Darius wants to drink from the mug that he got for Christmas.,“Show me the purple mug”,neither,sentence,target_absent,f5_PurpleMug_1.jpg,f5_PurpleMug_2.jpg,cross.jpg,filler,white mug,red cross,black mug
3,16,purple,color,Darius wants to drink from the mug that he got for Christmas.,“Show me the purple mug”,neither,sentence,target_absent,f5_PurpleMug_1.jpg,f5_PurpleMug_2.jpg,cross.jpg,filler,white mug,red cross,black mug
4,16,purple,color,Darius wants to drink from the mug that he got for Christmas.,“Show me the purple mug”,neither,sentence,target_absent,f5_PurpleMug_1.jpg,f5_PurpleMug_2.jpg,cross.jpg,filler,white mug,red cross,black mug
5,16,purple,color,Darius wants to drink from the mug that he got for Christmas.,“Show me the purple mug”,neither,sentence,target_absent,f5_PurpleMug_1.jpg,f5_PurpleMug_2.jpg,cross.jpg,filler,white mug,red cross,black mug
6,16,purple,color,Darius wants to drink from the mug that he got for Christmas.,“Show me the purple mug”,neither,sentence,target_absent,f5_PurpleMug_1.jpg,f5_PurpleMug_2.jpg,cross.jpg,filler,white mug,red cross,black mug
1,17,pink,color,Kiara tried very hard but could not find her pink pair of pants. ,“Show me the missing pants”,neither,context,target_absent,f6_PinkPants_1.jpg,f6_PinkPants_2.jpg,cross.jpg,filler,black pants,red cross,beige pants
2,17,pink,color,Kiara tried very hard but could not find her pink pair of pants. ,“Show me the missing pants”,neither,context,target_absent,f6_PinkPants_1.jpg,f6_PinkPants_2.jpg,cross.jpg,filler,black pants,red cross,beige pants
3,17,pink,color,Kiara tried very hard but could not find her pink pair of pants. ,“Show me the missing pants”,neither,context,target_absent,f6_PinkPants_1.jpg,f6_PinkPants_2.jpg,cross.jpg,filler,black pants,red cross,beige pants
4,17,pink,color,Kiara tried very hard but could not find her pink pair of pants. ,“Show me the missing pants”,neither,context,target_absent,f6_PinkPants_1.jpg,f6_PinkPants_2.jpg,cross.jpg,filler,black pants,red cross,beige pants
5,17,pink,color,Kiara tried very hard but could not find her pink pair of pants. ,“Show me the missing pants”,neither,context,target_absent,f6_PinkPants_1.jpg,f6_PinkPants_2.jpg,cross.jpg,filler,black pants,red cross,beige pants
6,17,pink,color,Kiara tried very hard but could not find her pink pair of pants. ,“Show me the missing pants”,neither,context,target_absent,f6_PinkPants_1.jpg,f6_PinkPants_2.jpg,cross.jpg,filler,black pants,red cross,beige pants
1,18,tall,relative,"Andre, who is a famous architect, just finished a new tall office building.",“Show me Andre's newest project”,target,context,target_present,f7_TallBuilding_1.jpg,f7_TallBuilding_2.jpg,cross.jpg,filler,short building,red cross,tall building
2,18,tall,relative,"Andre, who is a famous architect, just finished a new tall office building.",“Show me Andre's newest project”,target,context,target_present,f7_TallBuilding_1.jpg,f7_TallBuilding_2.jpg,cross.jpg,filler,short building,red cross,tall building
3,18,tall,relative,"Andre, who is a famous architect, just finished a new tall office building.",“Show me Andre's newest project”,target,context,target_present,f7_TallBuilding_1.jpg,f7_TallBuilding_2.jpg,cross.jpg,filler,short building,red cross,tall building
4,18,tall,relative,"Andre, who is a famous architect, just finished a new tall office building.",“Show me Andre's newest project”,target,context,target_present,f7_TallBuilding_1.jpg,f7_TallBuilding_2.jpg,cross.jpg,filler,short building,red cross,tall building
5,18,tall,relative,"Andre, who is a famous architect, just finished a new tall office building.",“Show me Andre's newest project”,target,context,target_present,f7_TallBuilding_1.jpg,f7_TallBuilding_2.jpg,cross.jpg,filler,short building,red cross,tall building
6,18,tall,relative,"Andre, who is a famous architect, just finished a new tall office building.",“Show me Andre's newest project”,target,context,target_present,f7_TallBuilding_1.jpg,f7_TallBuilding_2.jpg,cross.jpg,filler,short building,red cross,tall building
1,19,big,relative,"Alicia, who really loves the outdoors, is going camping with her family.",“Show me the big tent”,target,sentence,target_present,f8_BigTent_1.jpg,f8_BigTent_2.jpg,cross.jpg,filler,small tent,red cross,big tent
2,19,big,relative,"Alicia, who really loves the outdoors, is going camping with her family.",“Show me the big tent”,target,sentence,target_present,f8_BigTent_1.jpg,f8_BigTent_2.jpg,cross.jpg,filler,small tent,red cross,big tent
3,19,big,relative,"Alicia, who really loves the outdoors, is going camping with her family.",“Show me the big tent”,target,sentence,target_present,f8_BigTent_1.jpg,f8_BigTent_2.jpg,cross.jpg,filler,small tent,red cross,big tent
4,19,big,relative,"Alicia, who really loves the outdoors, is going camping with her family.",“Show me the big tent”,target,sentence,target_present,f8_BigTent_1.jpg,f8_BigTent_2.jpg,cross.jpg,filler,small tent,red cross,big tent
5,19,big,relative,"Alicia, who really loves the outdoors, is going camping with her family.",“Show me the big tent”,target,sentence,target_present,f8_BigTent_1.jpg,f8_BigTent_2.jpg,cross.jpg,filler,small tent,red cross,big tent
6,19,big,relative,"Alicia, who really loves the outdoors, is going camping with her family.",“Show me the big tent”,target,sentence,target_present,f8_BigTent_1.jpg,f8_BigTent_2.jpg,cross.jpg,filler,small tent,red cross,big tent
1,20,long,relative,Jordan saw a really big snake in the forest that scared him to death.,“Show me what scared Jordan”,target,context,target_present,f9_LongSnake_1.jpg,f9_LongSnake_2.jpg,cross.jpg,filler,short snake,red cross,long snake
2,20,long,relative,Jordan saw a really big snake in the forest that scared him to death.,“Show me what scared Jordan”,target,context,target_present,f9_LongSnake_1.jpg,f9_LongSnake_2.jpg,cross.jpg,filler,short snake,red cross,long snake
3,20,long,relative,Jordan saw a really big snake in the forest that scared him to death.,“Show me what scared Jordan”,target,context,target_present,f9_LongSnake_1.jpg,f9_LongSnake_2.jpg,cross.jpg,filler,short snake,red cross,long snake
4,20,long,relative,Jordan saw a really big snake in the forest that scared him to death.,“Show me what scared Jordan”,target,context,target_present,f9_LongSnake_1.jpg,f9_LongSnake_2.jpg,cross.jpg,filler,short snake,red cross,long snake
5,20,long,relative,Jordan saw a really big snake in the forest that scared him to death.,“Show me what scared Jordan”,target,context,target_present,f9_LongSnake_1.jpg,f9_LongSnake_2.jpg,cross.jpg,filler,short snake,red cross,long snake
6,20,long,relative,Jordan saw a really big snake in the forest that scared him to death.,“Show me what scared Jordan”,target,context,target_present,f9_LongSnake_1.jpg,f9_LongSnake_2.jpg,cross.jpg,filler,short snake,red cross,long snake
1,21,old,relative,Cassandra really loves her grandma so she went to the retirement home to visit her.,“Show me the old grandma”,neither,sentence,target_absent,f10_OldGrandma_1.jpg,f10_OldGrandma_2.jpg,cross.jpg,filler,old man,red cross,young kid
2,21,old,relative,Cassandra really loves her grandma so she went to the retirement home to visit her.,“Show me the old grandma”,neither,sentence,target_absent,f10_OldGrandma_1.jpg,f10_OldGrandma_2.jpg,cross.jpg,filler,old man,red cross,young kid
3,21,old,relative,Cassandra really loves her grandma so she went to the retirement home to visit her.,“Show me the old grandma”,neither,sentence,target_absent,f10_OldGrandma_1.jpg,f10_OldGrandma_2.jpg,cross.jpg,filler,old man,red cross,young kid
4,21,old,relative,Cassandra really loves her grandma so she went to the retirement home to visit her.,“Show me the old grandma”,neither,sentence,target_absent,f10_OldGrandma_1.jpg,f10_OldGrandma_2.jpg,cross.jpg,filler,old man,red cross,young kid
